Id,End,ImageUrl,Instructors,Name,Platform,Start,Stream,Url
"9","2012-06-03","http://lh6.ggpht.com/DwG6Oe7gOPCZsLGCyWGBFl9rKGjgbq4_g1UzUj6YpmrV9Y9MGU6uvsKY_FDVaZ22RLk1wyHsvqJ7TkAu-Q","Peter Norvig","CS212 - The Design of Computer Programs: Programming Principles","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs212"
"53","2012-11-11","*","Silvio Savarese;Fei-Fei Li","Computer Vision: From 3D Reconstruction to Visual Recognition","Coursera","2012-09-03","Computer Science","https://www.coursera.org/course/computervision"
"97","2012-12-09","*","Joe Warren;Scott Rixner;John Greiner;Stephen Wong","An Introduction to Interactive Programming in Python","Coursera","2012-10-15","Computer Science","https://www.coursera.org/course/interactivepython"
"52","2012-11-11","*","Michael Kearns","Networked Life","Coursera","2012-09-03","Society, Networks and Information","https://www.coursera.org/course/networks"
"27","2012-05-06","*","Tim Roughgarden","Design and Analysis of Algorithms I","Coursera","2012-03-12","Computer Science","https://www.coursera.org/course/algo"
"4","2012-06-17","https://lh3.googleusercontent.com/-_MarIsxMmmI/T1_y4zO4kMI/AAAAAAAASiA/g-yRXBvIEug/s754/stanford.banner.jpg","Chuck Eesley","Technology Entrepreneurship","Individual","2012-04-16","Entrepreneurship","http://eesley.blogspot.com/"
"111","2013-02-10","*","Tucker Balch","Computational Investing, Part I","Coursera","2013-01-01","Economics, Finance, and Business","https://www.coursera.org/course/compinvesting1"
"26","2012-06-13","*","Dan Boneh","Cryptography","Coursera","2012-03-12","Computer Science","https://www.coursera.org/course/crypto"
"13","2012-07-01","*","Jitendra Malik","Computer Vision: The Fundamentals","Coursera","2012-04-23","Computer Science","https://www.coursera.org/course/vision"
"127","2013-07-28","*","J. Nathan Kutz","Scientific Computing","Coursera","2013-06-03","Mathematics and Statistics","https://www.coursera.org/course/scientificcomp"
"119","2013-09-08","*","Don H. Johnson","Fundamentals of Electrical Engineering","Coursera","2013-06-03","Electrical and Materials Engineering","https://www.coursera.org/course/eefun"
"16","2012-06-24","*","Armando Fox;David Patterson","Software Engineering for SaaS","Coursera","2012-05-18","Computer Science","https://www.coursera.org/course/saas"
"86","2012-11-11","*","Geoffrey Hinton","Neural Networks for Machine Learning","Coursera","2012-09-17","Computer Science","https://www.coursera.org/course/neuralnets"
"80","2013-08-04","*","Mohamed Noor","Introduction to Genetics and Evolution","Coursera","2013-06-03","Biology and Life Sciences","https://www.coursera.org/course/geneticsevolution"
"72","2012-08-12","http://lh6.ggpht.com/nR8FQ_pMEj_4MCFG1knZgCSIfnTiDXNI4rsSaDIXZU-0tRI2ikOpILXG1ivcadj7GamLlqZTvMJa_PbRuzg7","David Evans","CS387 - Applied Cryptography: Science of Secrets","Udacity","2012-06-25","Computer Science","http://www.udacity.com/overview/Course/cs387"
"76","2013-04-14","*","Emma Jakoi;Jennifer Carbrey","Introductory Human Physiology","Coursera","2013-01-23","Biology and Life Sciences","https://www.coursera.org/course/humanphysio"
"93","2012-11-04","*","Martin Odersky","Functional Programming Principles in Scala","Coursera","2012-09-18","Computer Science","https://www.coursera.org/course/progfun"
"45","2012-10-07","*","J. Alex Halderman","Securing Digital Democracy","Coursera","2012-09-03","Society, Networks and Information","https://www.coursera.org/course/digitaldemocracy"
"41","2013-02-10","*","Roy Hamilton","Basic Behavioral Neurology","Coursera","2013-01-07","Healthcare, Medicine, and Biology","https://www.coursera.org/course/neurobehavior"
"17","2012-07-08","*","Scott Klemmer","Human-Computer Interaction","Coursera","2012-05-28","Computer Science","https://www.coursera.org/course/hci"
"6","2012-06-06","*","Daphne Koller","Probabilistic Graphical Models","Coursera","2012-03-09","Computer Science","https://www.coursera.org/course/pgm"
"66","2013-03-03","*","Jonathan D. Moreno","Neuroethics","Coursera","2013-01-07","Healthcare, Medicine, and Biology","https://www.coursera.org/course/neuroethics"
